20240819_r1_angle,20240819_r2_angle,20240819_r3_angle,20240819_r4_angle,20240819_r5_angle,20240819_r6_angle,20240819_r7_angle,20240819_r8_angle,20240819_r9_angle,20240819_r10_angle,20240819_r11_angle,20240819_r12_angle,20240819_r13_angle,20240819_r15_angle,20240819_r16_angle,20240819_r17_angle,20240819_r18_angle,20240819_r19_angle,20240819_r20_angle,angle_average,angle_upper,angle_lower,Time [s]
-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-35,-34,-34.05263157894737,-34,-35,0.01
-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-35,-34,-34.05263157894737,-34,-35,0.02
-34,-34,-34,-34,-34,-35,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-35,-34,-34.10526315789474,-34,-35,0.03
-34,-34,-34,-35,-34,-35,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-35,-34,-34.1578947368421,-34,-35,0.04
-34,-34,-34,-35,-34,-35,-34,-34,-34,-35,-34,-34,-34,-34,-34,-34,-34,-35,-34,-34.21052631578947,-34,-35,0.05
-34,-34,-34,-35,-34,-35,-34,-34,-34,-35,-34,-34,-34,-34,-34,-34,-34,-35,-34,-34.21052631578947,-34,-35,0.06
-34,-34,-34,-35,-34,-35,-34,-34,-34,-35,-34,-34,-34,-34,-34,-34,-35,-35,-35,-34.31578947368421,-34,-35,0.07
-34,-34,-34,-35,-35,-35,-34,-34,-34,-35,-34,-34,-34,-34,-34,-34,-35,-35,-35,-34.36842105263158,-34,-35,0.08
-34,-34,-34,-36,-35,-35,-34,-34,-34,-35,-34,-34,-34,-34,-35,-34,-35,-35,-35,-34.473684210526315,-34,-36,0.09
-34,-34,-34,-36,-35,-35,-34,-34,-34,-35,-34,-34,-34,-34,-35,-34,-35,-35,-35,-34.473684210526315,-34,-36,0.1
-34,-34,-34,-36,-35,-35,-34,-34,-34,-35,-34,-34,-34,-34,-35,-34,-35,-35,-35,-34.473684210526315,-34,-36,0.11
-34,-34,-34,-36,-35,-35,-34,-34,-34,-35,-34,-34,-34,-34,-34,-34,-35,-35,-35,-34.421052631578945,-34,-36,0.12
-34,-34,-34,-36,-35,-35,-34,-34,-34,-35,-34,-34,-34,-34,-34,-34,-35,-35,-35,-34.421052631578945,-34,-36,0.13
-34,-34,-34,-36,-35,-35,-34,-34,-34,-35,-34,-34,-34,-34,-34,-34,-35,-35,-35,-34.421052631578945,-34,-36,0.14
-34,-33,-34,-36,-35,-35,-34,-34,-34,-35,-34,-34,-34,-34,-34,-34,-35,-35,-34,-34.31578947368421,-33,-36,0.15
-34,-33,-34,-36,-35,-35,-34,-34,-34,-35,-34,-34,-34,-34,-34,-34,-35,-35,-34,-34.31578947368421,-33,-36,0.16
-34,-33,-34,-36,-35,-35,-34,-34,-34,-35,-34,-34,-34,-34,-34,-34,-35,-35,-34,-34.31578947368421,-33,-36,0.17
-34,-34,-34,-36,-35,-35,-34,-34,-34,-35,-34,-34,-33,-34,-34,-34,-35,-35,-34,-34.31578947368421,-33,-36,0.18
-34,-34,-34,-36,-35,-34,-34,-33,-34,-34,-34,-34,-34,-34,-34,-34,-35,-35,-34,-34.21052631578947,-33,-36,0.19
-34,-34,-34,-35,-35,-34,-34,-33,-34,-34,-34,-34,-34,-34,-34,-34,-35,-35,-34,-34.1578947368421,-33,-35,0.2
-34,-34,-34,-35,-35,-34,-34,-33,-35,-34,-34,-34,-34,-34,-34,-34,-35,-34,-34,-34.1578947368421,-33,-35,0.21
-34,-34,-34,-35,-35,-34,-34,-33,-38,-34,-34,-34,-33,-34,-34,-34,-35,-34,-34,-34.26315789473684,-33,-38,0.22
-34,-38,-35,-37,-36,-34,-36,-36,-42,-34,-35,-34,-35,-34,-35,-37,-38,-35,-36,-35.8421052631579,-34,-42,0.23
