20240819_w1_angle,20240819_w2_angle,20240819_w3_angle,20240819_w4_angle,20240819_w5_angle,20240819_w6_angle,20240819_w7_angle,20240819_w8_angle,20240819_w9_angle,20240819_w10_angle,20240819_w11_angle,20240819_w12_angle,20240819_w13_angle,20240819_w14_angle,20240819_w15_angle,20240819_w16_angle,20240819_w17_angle,20240819_w18_angle,20240819_w19_angle,20240819_w20_angle,angle_average,angle_upper,angle_lower,Time [s]
-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-21,-22,-22,-22,-22,-22,-22,-22,-21.95,-21,-22,0.01
-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-21,-22,-22,-22,-22,-22,-22,-22,-21.95,-21,-22,0.02
-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-21,-22,-22,-22,-23,-22,-22,-22,-22.0,-21,-23,0.03
-23,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-21,-22,-22,-22,-23,-23,-22,-22,-22.1,-21,-23,0.04
-23,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-21,-22,-22,-22,-23,-23,-22,-22,-22.1,-21,-23,0.05
-23,-23,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-21,-22,-22,-22,-23,-23,-22,-22,-22.15,-21,-23,0.06
-23,-23,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-21,-22,-22,-22,-23,-23,-22,-22,-22.15,-21,-23,0.07
-23,-23,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-21,-22,-22,-22,-23,-23,-22,-22,-22.15,-21,-23,0.08
-23,-23,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-21,-22,-22,-22,-23,-23,-22,-22,-22.15,-21,-23,0.09
-23,-23,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-21,-22,-22,-22,-23,-23,-22,-22,-22.15,-21,-23,0.1
-23,-23,-22,-22,-22,-22,-22,-22,-23,-22,-22,-22,-21,-22,-22,-22,-23,-23,-22,-22,-22.2,-21,-23,0.11
-23,-23,-22,-22,-22,-22,-21,-22,-23,-22,-21,-21,-21,-22,-22,-22,-23,-23,-22,-22,-22.05,-21,-23,0.12
-23,-23,-22,-22,-22,-22,-21,-22,-22,-22,-21,-21,-21,-22,-22,-22,-23,-23,-22,-22,-22.0,-21,-23,0.13
-23,-23,-22,-22,-22,-21,-21,-22,-22,-21,-21,-21,-21,-22,-22,-22,-22,-23,-22,-22,-21.85,-21,-23,0.14
-23,-23,-22,-22,-22,-21,-21,-21,-22,-21,-21,-21,-21,-22,-22,-22,-22,-23,-21,-22,-21.75,-21,-23,0.15
-23,-24,-22,-22,-21,-21,-21,-21,-22,-21,-21,-21,-20,-22,-22,-22,-22,-22,-21,-22,-21.65,-20,-24,0.16
-23,-24,-22,-22,-21,-21,-21,-21,-22,-21,-21,-21,-20,-22,-22,-22,-22,-22,-21,-22,-21.65,-20,-24,0.17
-23,-24,-22,-22,-21,-21,-21,-21,-22,-20,-21,-21,-20,-22,-22,-22,-22,-22,-22,-22,-21.65,-20,-24,0.18
-23,-24,-22,-22,-21,-22,-21,-22,-22,-21,-21,-21,-20,-22,-22,-22,-22,-22,-22,-22,-21.8,-20,-24,0.19
-25,-25,-22,-23,-21,-22,-21,-22,-22,-20,-21,-21,-20,-22,-22,-22,-22,-22,-22,-22,-21.95,-20,-25,0.2
-26,-26,-22,-23,-21,-23,-22,-22,-22,-21,-21,-21,-20,-22,-24,-22,-22,-22,-22,-22,-22.3,-20,-26,0.21
-27,-28,-24,-27,-22,-26,-26,-25,-24,-22,-25,-24,-23,-25,-27,-23,-26,-22,-25,-24,-24.75,-22,-28,0.22
-31,-31,-28,-31,-24,-29,-29,-28,-28,-25,-28,-28,-26,-29,-31,-25,-28,-23,-28,-28,-27.9,-23,-31,0.23
-35,-35,-31,-34,-28,-33,-32,-31,-31,-28,-32,-31,-29,-33,-34,-30,-32,-25,-32,-32,-31.4,-25,-35,0.24
-37,-38,-35,-37,-32,-37,-36,-34,-35,-32,-35,-35,-33,-35,-37,-33,-36,-27,-35,-35,-34.7,-27,-38,0.25
