20240819_f1_count,20240819_f1_angle,,20240819_f10_count,20240819_f10_angle,,20240819_f11_count,20240819_f11_angle,,20240819_f12_count,20240819_f12_angle,,20240819_f13_count,20240819_f13_angle,,20240819_f14_count,20240819_f14_angle,,20240819_f15_count,20240819_f15_angle,,20240819_f16_count,20240819_f16_angle,,20240819_f17_count,20240819_f17_angle,,20240819_f18_count,20240819_f18_angle,,20240819_f19_count,20240819_f19_angle,,20240819_f2_count,20240819_f2_angle,,20240819_f20_count,20240819_f20_angle,,20240819_f3_count,20240819_f3_angle,,20240819_f4_count,20240819_f4_angle,,20240819_f5_count,20240819_f5_angle,,20240819_f6_count,20240819_f6_angle,,20240819_f7_count,20240819_f7_angle,,20240819_f8_count,20240819_f8_angle,,20240819_f9_count,20240819_f9_angle
469,-32,,469,-36,,478,-31,,466,-35,,466,-36,,458,-37,,460,-35,,463,-35,,470,-32,,473,-36,,460,-37,,464,-33,,460,-37,,484,-36,,486,-34,,470,-33,,474,-32,,468,-31,,471,-33,,468,-30
470,-32,,470,-36,,479,-31,,467,-35,,467,-36,,459,-37,,461,-35,,464,-35,,471,-32,,474,-36,,461,-37,,465,-33,,461,-37,,485,-36,,487,-34,,471,-33,,475,-32,,469,-31,,472,-33,,469,-30
471,-32,,471,-36,,480,-31,,468,-35,,468,-36,,460,-37,,462,-35,,465,-35,,472,-32,,475,-36,,462,-37,,466,-33,,462,-36,,486,-36,,488,-34,,472,-33,,476,-32,,470,-31,,473,-33,,470,-30
472,-32,,472,-36,,481,-31,,469,-35,,469,-36,,461,-37,,463,-35,,466,-35,,473,-32,,476,-36,,463,-37,,467,-33,,463,-37,,487,-36,,489,-34,,473,-33,,477,-32,,471,-31,,474,-33,,471,-30
473,-32,,473,-36,,482,-31,,470,-35,,470,-36,,462,-37,,464,-35,,467,-35,,474,-32,,477,-36,,464,-37,,468,-33,,464,-37,,488,-36,,490,-34,,474,-33,,478,-32,,472,-31,,475,-33,,472,-30
474,-32,,474,-36,,483,-31,,471,-35,,471,-36,,463,-37,,465,-35,,468,-35,,475,-32,,478,-36,,465,-37,,469,-33,,465,-37,,489,-36,,491,-34,,475,-33,,479,-32,,473,-31,,476,-33,,473,-30
475,-32,,475,-36,,484,-31,,472,-35,,472,-36,,464,-37,,466,-35,,469,-35,,476,-32,,479,-36,,466,-37,,470,-33,,466,-37,,490,-36,,492,-34,,476,-33,,480,-32,,474,-31,,477,-33,,474,-30
476,-32,,476,-36,,485,-31,,473,-35,,473,-36,,465,-37,,467,-35,,470,-35,,477,-32,,480,-36,,467,-37,,471,-33,,467,-37,,491,-36,,493,-34,,477,-33,,481,-32,,475,-31,,478,-33,,475,-30
477,-32,,477,-36,,486,-31,,474,-35,,474,-36,,466,-37,,468,-35,,471,-35,,478,-32,,481,-36,,468,-37,,472,-33,,468,-37,,492,-36,,494,-34,,478,-33,,482,-32,,476,-31,,479,-33,,476,-30
478,-32,,478,-36,,487,-31,,475,-35,,475,-36,,467,-37,,469,-35,,472,-35,,479,-32,,482,-36,,469,-37,,473,-33,,469,-37,,493,-36,,495,-34,,479,-33,,483,-32,,477,-31,,480,-33,,477,-30
479,-32,,479,-36,,488,-31,,476,-35,,476,-36,,468,-37,,470,-35,,473,-35,,480,-32,,483,-36,,470,-37,,474,-33,,470,-37,,494,-36,,496,-34,,480,-33,,484,-32,,478,-31,,481,-33,,478,-30
480,-32,,480,-36,,489,-31,,477,-35,,477,-36,,469,-37,,471,-35,,474,-35,,481,-32,,484,-36,,471,-37,,475,-33,,471,-37,,495,-36,,497,-34,,481,-33,,485,-32,,479,-31,,482,-33,,479,-30
481,-32,,481,-36,,490,-31,,478,-35,,478,-36,,470,-37,,472,-35,,475,-35,,482,-32,,485,-36,,472,-37,,476,-33,,472,-37,,496,-36,,498,-34,,482,-33,,486,-32,,480,-31,,483,-33,,480,-30
482,-32,,482,-36,,491,-31,,479,-35,,479,-36,,471,-37,,473,-35,,476,-35,,483,-32,,486,-36,,473,-37,,477,-33,,473,-37,,497,-36,,499,-35,,483,-33,,487,-32,,481,-31,,484,-33,,481,-30
483,-32,,483,-36,,492,-31,,480,-35,,480,-36,,472,-37,,474,-35,,477,-35,,484,-32,,487,-36,,474,-37,,478,-33,,474,-37,,498,-36,,500,-35,,484,-33,,488,-32,,482,-31,,485,-33,,482,-30
484,-32,,484,-36,,493,-31,,481,-35,,481,-36,,473,-37,,475,-35,,478,-35,,485,-32,,488,-36,,475,-37,,479,-33,,475,-37,,499,-36,,501,-34,,485,-33,,489,-32,,483,-31,,486,-33,,483,-30
485,-32,,485,-36,,494,-31,,482,-35,,482,-36,,474,-37,,476,-35,,479,-35,,486,-32,,489,-36,,476,-37,,480,-33,,476,-37,,500,-36,,502,-34,,486,-33,,490,-32,,484,-31,,487,-33,,484,-30
486,-32,,486,-36,,495,-31,,483,-35,,483,-36,,475,-37,,477,-35,,480,-35,,487,-32,,490,-36,,477,-37,,481,-33,,477,-37,,501,-36,,503,-34,,487,-33,,491,-32,,485,-31,,488,-33,,485,-30
487,-32,,487,-36,,496,-31,,484,-35,,484,-36,,476,-37,,478,-35,,481,-35,,488,-32,,491,-36,,478,-37,,482,-33,,478,-37,,502,-36,,504,-34,,488,-33,,492,-32,,486,-31,,489,-33,,486,-30
488,-32,,488,-36,,497,-31,,485,-35,,485,-36,,477,-37,,479,-35,,482,-35,,489,-32,,492,-36,,479,-37,,483,-33,,479,-37,,503,-36,,505,-35,,489,-33,,493,-32,,487,-31,,490,-33,,487,-30
489,-32,,489,-36,,498,-31,,486,-35,,486,-36,,478,-37,,480,-35,,483,-35,,490,-32,,493,-36,,480,-37,,484,-33,,480,-37,,504,-36,,506,-35,,490,-33,,494,-32,,488,-31,,491,-33,,488,-30
490,-32,,490,-36,,499,-31,,487,-35,,487,-36,,479,-37,,481,-35,,484,-35,,491,-32,,494,-36,,481,-37,,485,-33,,481,-37,,505,-36,,507,-35,,491,-33,,495,-32,,489,-31,,492,-33,,489,-30
491,-32,,491,-36,,500,-31,,488,-35,,488,-36,,480,-37,,482,-35,,485,-35,,492,-32,,495,-36,,482,-37,,486,-33,,482,-37,,506,-36,,508,-35,,492,-33,,496,-32,,490,-31,,493,-33,,490,-30
492,-32,,492,-36,,501,-31,,489,-35,,489,-36,,481,-37,,483,-35,,486,-35,,493,-32,,496,-36,,483,-37,,487,-33,,483,-37,,507,-36,,509,-35,,493,-33,,497,-32,,491,-31,,494,-33,,491,-30
493,-32,,493,-36,,502,-31,,490,-35,,490,-36,,482,-37,,484,-35,,487,-35,,494,-32,,497,-36,,484,-37,,488,-33,,484,-37,,508,-36,,510,-35,,494,-33,,498,-32,,492,-31,,495,-33,,492,-30
494,-32,,494,-36,,503,-31,,491,-35,,491,-36,,483,-37,,485,-35,,488,-35,,495,-32,,498,-36,,485,-37,,489,-33,,485,-37,,509,-37,,511,-35,,495,-33,,499,-32,,493,-31,,496,-33,,493,-30
495,-32,,495,-36,,504,-31,,492,-35,,492,-36,,484,-37,,486,-35,,489,-35,,496,-32,,499,-36,,486,-37,,490,-33,,486,-37,,510,-37,,512,-35,,496,-33,,500,-32,,494,-31,,497,-33,,494,-30
496,-32,,496,-36,,505,-31,,493,-35,,493,-36,,485,-38,,487,-35,,490,-35,,497,-32,,500,-36,,487,-37,,491,-33,,487,-37,,511,-37,,513,-35,,497,-33,,501,-32,,495,-31,,498,-33,,495,-30
497,-32,,497,-36,,506,-31,,494,-35,,494,-36,,486,-38,,488,-36,,491,-35,,498,-32,,501,-36,,488,-37,,492,-33,,488,-38,,512,-37,,514,-35,,498,-33,,502,-32,,496,-31,,499,-33,,496,-30
498,-32,,498,-36,,507,-32,,495,-35,,495,-36,,487,-38,,489,-36,,492,-35,,499,-32,,502,-36,,489,-37,,493,-33,,489,-38,,513,-37,,515,-35,,499,-33,,503,-32,,497,-32,,500,-33,,497,-31
499,-32,,499,-36,,508,-32,,496,-35,,496,-36,,488,-38,,490,-36,,493,-35,,500,-32,,503,-36,,490,-37,,494,-33,,490,-38,,514,-37,,516,-35,,500,-33,,504,-32,,498,-32,,501,-33,,498,-31
500,-32,,500,-36,,509,-32,,497,-35,,497,-36,,489,-38,,491,-36,,494,-35,,501,-32,,504,-36,,491,-37,,495,-33,,491,-38,,515,-37,,517,-35,,501,-33,,505,-32,,499,-32,,502,-33,,499,-31
501,-32,,501,-36,,510,-32,,498,-35,,498,-36,,490,-38,,492,-36,,495,-35,,502,-32,,505,-36,,492,-37,,496,-34,,492,-38,,516,-37,,518,-35,,502,-34,,506,-32,,500,-32,,503,-33,,500,-31
502,-32,,502,-36,,511,-32,,499,-35,,499,-36,,491,-38,,493,-36,,496,-35,,503,-32,,506,-37,,493,-37,,497,-34,,493,-38,,517,-37,,519,-35,,503,-34,,507,-32,,501,-32,,504,-33,,501,-31
503,-32,,503,-36,,512,-32,,500,-35,,500,-36,,492,-38,,494,-36,,497,-35,,504,-32,,507,-37,,494,-37,,498,-34,,494,-38,,518,-37,,520,-35,,504,-34,,508,-32,,502,-32,,505,-33,,502,-31
504,-32,,504,-36,,513,-32,,501,-35,,501,-36,,493,-38,,495,-36,,498,-35,,505,-32,,508,-37,,495,-38,,499,-34,,495,-38,,519,-37,,521,-35,,505,-34,,509,-32,,503,-32,,506,-33,,503,-31
505,-32,,505,-36,,514,-32,,502,-35,,502,-36,,494,-38,,496,-36,,499,-35,,506,-32,,509,-37,,496,-38,,500,-34,,496,-38,,520,-37,,522,-35,,506,-34,,510,-32,,504,-32,,507,-33,,504,-31
506,-33,,506,-36,,515,-32,,503,-35,,503,-36,,495,-38,,497,-36,,500,-35,,507,-32,,510,-37,,497,-38,,501,-34,,497,-38,,521,-37,,523,-34,,507,-34,,511,-32,,505,-32,,508,-33,,505,-31
507,-32,,507,-36,,516,-31,,504,-35,,504,-36,,496,-38,,498,-36,,501,-35,,508,-32,,511,-37,,498,-38,,502,-34,,498,-38,,522,-37,,524,-34,,508,-34,,512,-32,,506,-31,,509,-33,,506,-31
508,-32,,508,-36,,517,-31,,505,-35,,505,-36,,497,-37,,499,-36,,502,-35,,509,-32,,512,-37,,499,-38,,503,-34,,499,-38,,523,-37,,525,-34,,509,-34,,513,-32,,507,-31,,510,-33,,507,-31
509,-32,,509,-36,,518,-31,,506,-35,,506,-36,,498,-37,,500,-36,,503,-35,,510,-32,,513,-37,,500,-37,,504,-34,,500,-38,,524,-36,,526,-34,,510,-34,,514,-32,,508,-31,,511,-33,,508,-31
510,-32,,510,-36,,519,-31,,507,-35,,507,-36,,499,-37,,501,-36,,504,-35,,511,-32,,514,-37,,501,-37,,505,-34,,501,-38,,525,-37,,527,-34,,511,-34,,515,-32,,509,-31,,512,-33,,509,-30
511,-32,,511,-36,,520,-31,,508,-34,,508,-36,,500,-37,,502,-36,,505,-35,,512,-32,,515,-37,,502,-37,,506,-34,,502,-38,,526,-37,,528,-34,,512,-34,,516,-32,,510,-32,,513,-33,,510,-30
512,-32,,512,-36,,521,-31,,509,-34,,509,-36,,501,-37,,503,-36,,506,-35,,513,-32,,516,-37,,503,-37,,507,-34,,503,-38,,527,-37,,529,-34,,513,-34,,517,-32,,511,-32,,514,-33,,511,-30
513,-32,,513,-36,,522,-31,,510,-34,,510,-36,,502,-36,,504,-36,,507,-35,,514,-32,,517,-37,,504,-37,,508,-34,,504,-38,,528,-37,,530,-34,,514,-34,,518,-32,,512,-31,,515,-33,,512,-30
514,-32,,514,-36,,523,-31,,511,-34,,511,-36,,503,-36,,505,-36,,508,-35,,515,-32,,518,-37,,505,-37,,509,-34,,505,-37,,529,-37,,531,-34,,515,-35,,519,-32,,513,-31,,516,-33,,513,-30
515,-33,,515,-36,,524,-31,,512,-34,,512,-37,,504,-36,,506,-36,,509,-35,,516,-32,,519,-37,,506,-37,,510,-34,,506,-37,,530,-37,,532,-35,,516,-35,,520,-32,,514,-31,,517,-33,,514,-30
516,-34,,516,-36,,525,-32,,513,-34,,513,-37,,505,-37,,507,-36,,510,-35,,517,-32,,520,-38,,507,-37,,511,-34,,507,-37,,531,-37,,533,-35,,517,-36,,521,-33,,515,-32,,518,-33,,515,-31
517,-36,,517,-37,,526,-36,,514,-38,,514,-38,,506,-40,,508,-39,,511,-38,,518,-35,,521,-38,,508,-39,,512,-38,,508,-41,,532,-39,,534,-37,,518,-39,,522,-35,,516,-34,,519,-36,,516,-33
518,-39,,518,-40,,527,-39,,515,-42,,515,-41,,507,-44,,509,-42,,512,-41,,519,-38,,522,-41,,509,-43,,513,-42,,509,-45,,533,-43,,535,-40,,519,-43,,523,-39,,517,-37,,520,-40,,517,-36
519,-43,,519,-44,,528,-42,,516,-45,,516,-45,,508,-47,,510,-46,,513,-45,,520,-42,,523,-44,,510,-47,,514,-45,,510,-48,,534,-46,,536,-44,,520,-46,,524,-42,,518,-40,,521,-44,,518,-40
520,-47,,520,-47,,529,-45,,517,-47,,517,-48,,509,-49,,511,-50,,514,-49,,521,-45,,524,-47,,511,-50,,515,-48,,511,-51,,535,-49,,537,-46,,521,-49,,525,-45,,519,-44,,522,-47,,519,-44
521,-50,,521,-50,,530,-48,,518,-50,,518,-50,,510,-52,,512,-54,,515,-51,,522,-49,,525,-50,,512,-54,,516,-52,,512,-54,,536,-52,,538,-49,,522,-51,,526,-48,,520,-47,,523,-49,,520,-47
522,-52,,522,-53,,531,-51,,519,-53,,519,-53,,511,-55,,513,-56,,516,-54,,523,-51,,526,-53,,513,-56,,517,-54,,513,-56,,537,-54,,539,-52,,523,-53,,527,-51,,521,-50,,524,-51,,521,-49
523,-54,,523,-55,,532,-51,,520,-53,,520,-54,,512,-56,,514,-57,,517,-54,,524,-52,,527,-55,,514,-58,,518,-55,,514,-57,,538,-56,,540,-53,,524,-53,,528,-52,,522,-51,,525,-52,,522,-50
524,-53,,524,-55,,533,-51,,521,-53,,521,-55,,513,-55,,515,-56,,518,-54,,525,-52,,528,-56,,515,-57,,519,-55,,515,-56,,539,-55,,541,-53,,525,-53,,529,-51,,523,-51,,526,-51,,523,-49
525,-52,,525,-54,,534,-49,,522,-51,,522,-55,,514,-54,,516,-54,,519,-52,,526,-51,,529,-55,,516,-54,,520,-53,,516,-54,,540,-54,,542,-53,,526,-52,,530,-50,,524,-50,,527,-50,,524,-47
526,-50,,526,-52,,535,-46,,523,-49,,523,-53,,515,-53,,517,-51,,520,-50,,527,-49,,530,-54,,517,-53,,521,-52,,517,-52,,541,-53,,543,-51,,527,-50,,531,-50,,525,-48,,528,-48,,525,-45
527,-48,,527,-50,,536,-44,,524,-47,,524,-51,,516,-51,,518,-50,,521,-48,,528,-47,,531,-52,,518,-51,,522,-50,,518,-50,,542,-51,,544,-50,,528,-48,,532,-48,,526,-47,,529,-46,,526,-44
528,-46,,528,-49,,537,-43,,525,-45,,525,-50,,517,-49,,519,-47,,522,-46,,529,-45,,532,-50,,519,-50,,523,-49,,519,-48,,543,-49,,545,-48,,529,-47,,533,-46,,527,-44,,530,-44,,527,-42
529,-45,,529,-47,,538,-41,,526,-43,,526,-48,,518,-47,,520,-46,,523,-45,,530,-43,,533,-48,,520,-48,,524,-47,,520,-47,,544,-48,,546,-46,,530,-45,,534,-45,,528,-43,,531,-42,,528,-40
530,-43,,530,-45,,539,-39,,527,-42,,527,-46,,519,-46,,521,-44,,524,-43,,531,-41,,534,-47,,521,-46,,525,-46,,521,-45,,545,-46,,547,-45,,531,-44,,535,-43,,529,-41,,532,-40,,529,-38
531,-42,,531,-43,,540,-38,,528,-40,,528,-44,,520,-44,,522,-43,,525,-41,,532,-39,,535,-45,,522,-45,,526,-45,,522,-44,,546,-45,,548,-43,,532,-43,,536,-42,,530,-40,,533,-39,,530,-37
532,-41,,532,-42,,541,-36,,529,-39,,529,-43,,521,-43,,523,-42,,526,-40,,533,-38,,536,-44,,523,-43,,527,-43,,523,-42,,547,-43,,549,-42,,533,-41,,537,-41,,531,-39,,534,-38,,531,-35
