20240819_w1_count,20240819_w1_angle,,20240819_w10_count,20240819_w10_angle,,20240819_w11_count,20240819_w11_angle,,20240819_w12_count,20240819_w12_angle,,20240819_w13_count,20240819_w13_angle,,20240819_w14_count,20240819_w14_angle,,20240819_w15_count,20240819_w15_angle,,20240819_w16_count,20240819_w16_angle,,20240819_w17_count,20240819_w17_angle,,20240819_w18_count,20240819_w18_angle,,20240819_w19_count,20240819_w19_angle,,20240819_w2_count,20240819_w2_angle,,20240819_w20_count,20240819_w20_angle,,20240819_w3_count,20240819_w3_angle,,20240819_w4_count,20240819_w4_angle,,20240819_w5_count,20240819_w5_angle,,20240819_w6_count,20240819_w6_angle,,20240819_w7_count,20240819_w7_angle,,20240819_w8_count,20240819_w8_angle,,20240819_w9_count,20240819_w9_angle,
444,-22,,465,-35,,473,-36,,475,-38,,480,-37,,480,-37,,482,-36,,470,-37,,489,-33,,483,-36,,482,-36,,480,-31,,478,-36,,485,-34,,476,-29,,472,-34,,477,-36,,483,-36,,477,-34,,470,-35,
445,-22,,466,-35,,474,-36,,476,-38,,481,-36,,481,-37,,483,-36,,471,-37,,490,-33,,484,-36,,483,-36,,481,-31,,479,-36,,486,-34,,477,-29,,473,-34,,478,-36,,484,-36,,478,-34,,471,-35,
446,-22,,467,-35,,475,-36,,477,-38,,482,-36,,482,-37,,484,-36,,472,-37,,491,-33,,485,-36,,484,-36,,482,-31,,480,-36,,487,-34,,478,-29,,474,-34,,479,-36,,485,-36,,479,-34,,472,-35,
447,-22,,468,-35,,476,-36,,478,-38,,483,-36,,483,-37,,485,-36,,473,-37,,492,-33,,486,-36,,485,-36,,483,-31,,481,-36,,488,-34,,479,-29,,475,-34,,480,-36,,486,-36,,480,-34,,473,-35,
448,-22,,469,-35,,477,-36,,479,-38,,484,-36,,484,-37,,486,-36,,474,-37,,493,-33,,487,-36,,486,-36,,484,-31,,482,-36,,489,-34,,480,-29,,476,-34,,481,-36,,487,-36,,481,-34,,474,-35,
449,-22,,470,-35,,478,-36,,480,-38,,485,-36,,485,-37,,487,-36,,475,-37,,494,-33,,488,-36,,487,-36,,485,-31,,483,-36,,490,-34,,481,-29,,477,-34,,482,-36,,488,-36,,482,-34,,475,-35,
450,-22,,471,-35,,479,-36,,481,-38,,486,-36,,486,-37,,488,-36,,476,-37,,495,-33,,489,-36,,488,-36,,486,-31,,484,-36,,491,-34,,482,-29,,478,-34,,483,-36,,489,-36,,483,-34,,476,-35,
451,-22,,472,-35,,480,-36,,482,-38,,487,-37,,487,-37,,489,-36,,477,-37,,496,-33,,490,-36,,489,-36,,487,-31,,485,-36,,492,-34,,483,-29,,479,-34,,484,-36,,490,-36,,484,-34,,477,-35,
452,-22,,473,-35,,481,-36,,483,-38,,488,-36,,488,-37,,490,-36,,478,-37,,497,-33,,491,-36,,490,-36,,488,-31,,486,-36,,493,-34,,484,-29,,480,-34,,485,-36,,491,-36,,485,-34,,478,-35,
453,-22,,474,-35,,482,-36,,484,-38,,489,-36,,489,-37,,491,-36,,479,-37,,498,-33,,492,-36,,491,-36,,489,-31,,487,-36,,494,-34,,485,-29,,481,-34,,486,-36,,492,-36,,486,-34,,479,-35,
